station,latitude,longitude,trafic,ville,ligne
DANUBE_7bis,3.830479684434706,52.64228326934002,566268,Paris,7bis
DAUMESNIL_6,3.833416692955848,52.614969122273976,5317608,Paris,6
DAUMESNIL_8,3.833416692955848,52.614969122273976,5317608,Paris,8
DENFERTROCHEREAU_4,3.806285493642174,52.60909142967568,4401791,Paris,4
DENFERTROCHEREAU_6,3.806285493642174,52.60909142967568,4401791,Paris,6
DUGOMMIER_6,3.8308336134029366,52.61445475844551,2836152,Paris,6
DUPLEIX_6,3.7891771265656327,52.61893202483777,4092602,Paris,6
DUROC_10,3.799355060713638,52.617400683948176,3645141,Paris,10
DUROC_13,3.799355060713638,52.617400683948176,3645141,Paris,13
ECOLEMILITAIRE_8,3.794333545137092,52.62204733508756,4638136,Paris,8
ECOLEVETERINAIREDEMAISONSALFORT_8,3.846005742385507,52.59979244601003,3520624,Maisons -Alfort,8
EDGARQUINET_6,3.8036615894723407,52.613592615996346,2364420,Paris,6
EGLISEDAUTEUIL_10,3.778837897258117,52.61608729205274,182153,Paris,10
EGLISEDEPANTIN_5,3.8384516203814583,52.65020610914095,4056872,Pantin,5
ESPLANADEDELADEFENSE_1,3.7679095128421056,52.6422682525863,10255121,Puteaux,1
ETIENNEMARCEL_4,3.812240458609,52.629223686902584,2907953,Paris,4
EUROPE_3,3.8001633981746634,52.63809232863538,1694103,Paris,3
EXELMANS_9,3.7751253743138258,52.613098318146896,2152072,Paris,9
FAIDHERBECHALIGNY_8,3.827948819101412,52.62148321261396,3206635,Paris,8
FALGUIERE_12,3.799832579819361,52.615798049393646,912582,Paris,12
FELIXFAURE_8,3.7887951553836734,52.61391329010318,1865477,Paris,8
FILLESDUCALVAIRE_8,3.819879055932462,52.62940555298811,1718975,Paris,8
FORTDAUBERVILLIERS_7,3.83363165429322,52.663940659743446,4165208,Aubervilliers,7
FRANKLINDROOSEVELT_1,3.7951582718500623,52.63120608225461,10705337,Paris,1
FRANKLINDROOSEVELT_9,3.7951582718500623,52.63120608225461,10705337,Paris,9
FRONTPOPULAIRE_12,3.8175659422825112,52.65735728372915,2877264,Saint Denis / Aubervilliers,12
GABRIELPERI_13,3.7866631180300914,52.66156421748692,5405121,Asnières,13
GAITE_13,3.8020857878473486,52.61216317187695,2995328,Paris,13
GALLIENI_3,3.841205766424548,52.63227414101135,5841623,Bagnolet,3
GAMBETTA_3,3.833641868073862,52.63146068949151,7137504,Paris,3
GAMBETTA_3bis,3.833641868073862,52.63146068949151,7137504,Paris,3bis
GAREDAUSTERLITZ_5,3.820280090003778,52.615800556649425,10443637,Paris,5
GAREDAUSTERLITZ_10,3.820280090003778,52.615800556649425,10443637,Paris,10
GAREDELEST_4,3.815596920746792,52.63755353498557,21432041,Paris,4
GAREDELEST_5,3.815596920746792,52.63755353498557,21432041,Paris,5
GAREDELEST_7,3.815596920746792,52.63755353498557,21432041,Paris,7
GAREDELYON_1,3.824229992849894,52.618523729107686,36864326,Paris,1
GAREDELYON_14,3.824229992849894,52.618523729107686,36864326,Paris,14
GAREDUNORD_4,3.8151762885118634,52.63984641340224,45793828,Paris,4
GAREDUNORD_5,3.8151762885118634,52.63984641340224,45793828,Paris,5
GARIBALDI_13,3.803011204622788,52.65602610325238,3692242,Saint Ouen,13
GEORGEV_1,3.791178482659232,52.63308788843178,6380669,Paris,1
GLACIERE_6,3.811437248114632,52.60794450752695,4863838,Paris,6
GONCOURT_11,3.821468271890137,52.63386823074478,3420469,Paris,11
GRANDSBOULEVARDS_8,3.8094367343449687,52.63401989689454,7416725,Paris,8
GRANDSBOULEVARDS_9,3.8094367343449687,52.63401989689454,7416725,Paris,9
GUYMOQUET_13,3.801732905790262,52.64732746772148,4593098,Paris,13
HAVRECAUMARTIN_3,3.802661738606877,52.63485398184792,7865303,Paris,3
HAVRECAUMARTIN_9,3.802661738606877,52.63485398184792,7865303,Paris,9
HOCHE_5,3.8338577147345543,52.64855989299743,5185130,Pantin,5
HOTELDEVILLE_1,3.813685666830672,52.62521532275436,11467832,Paris,1
HOTELDEVILLE_11,3.813685666830672,52.62521532275436,11467832,Paris,11
IENA_9,3.7887652172817705,52.62822717306518,2506768,Paris,9
INVALIDES_8,3.797331339577913,52.62724401867405,6411555,Paris,8
INVALIDES_13,3.797331339577913,52.62724401867405,6411555,Paris,13
JACQUESBONSERGENT_5,3.817119292185203,52.6341142385929,2596218,Paris,5
JASMIN_9,3.778187519555537,52.61951921433012,2103952,Paris,9
JAURES_2,3.820819486814584,52.64238586492543,6261040,Paris,2
JAURES_5,3.820819486814584,52.64238586492543,6261040,Paris,5
JAURES_7bis,3.820819486814584,52.64238586492543,6261040,Paris,7bis
JAVELANDRECITROEN_10,3.782558404997761,52.61567633467151,3042409,Paris,10
JOURDAIN_11,3.8290715867631553,52.637754836945966,3467807,Paris,11
JULESJOFFRIN_12,3.809120924843057,52.64759253354069,4677666,Paris,12
JUSSIEU_7,3.8157024222996223,52.61787116573761,4684325,Paris,7
JUSSIEU_10,3.8157024222996223,52.61787116573761,4684325,Paris,10
KLEBER_6,3.7881831300637536,52.63263773905423,1357710,Paris,6
LACHAPELLE_2,3.816264560726861,52.64287614037384,6976673,Paris,2
LACOURNEUVEMAI_7,3.836004673563016,52.66789817147497,5962052,La Courneuve,7
LADEFENSE_1,3.7630817319249656,52.64424732341266,15954978,Puteaux,1
LAFOURCHE_13,3.8012845437955263,52.64363213850224,2814675,Paris,13
LAMARCKCAULAINCOURT_12,3.806724913206974,52.64562926033453,2843167,Paris,12
LAMOTTEPICQUETGRENELLE_6,3.7915320275685143,52.61799563259404,7959759,Paris,6
LAMOTTEPICQUETGRENELLE_8,3.7915320275685143,52.61799563259404,7959759,Paris,8
LAMOTTEPICQUETGRENELLE_10,3.7915320275685143,52.61799563259404,7959759,Paris,10
LAMUETTE_9,3.780500111892657,52.62327628772333,4150248,Paris,9
LATOURMAUBOURG_8,3.796109713836658,52.624146761589365,2218166,Paris,8
LAUMIERE_5,3.8244300720255575,52.643984927032896,4556699,Paris,5
LEDRUROLLIN_8,3.824482786954467,52.62194720158257,3977633,Paris,8
LEKREMLINBICETRE_7,3.820441738678844,52.5949352006158,4447608,Kremlin-Bicêtre,7
LEPELETIER_7,3.808017394085828,52.636112506041265,2510950,Paris,7
LESAGNETTES_13,3.782767569545992,52.665655799099426,2448699,Asnières sur Seine,13
LESGOBELINS_7,3.815110893239116,52.611277721492385,3595435,Paris,7
LESHALLES_4,3.8109356314492184,52.628163715812306,17509498,Paris,4
LESSABLONS_1,3.778406902347288,52.638157925400925,6396994,Neuilly Sur Seine,1
LIBERTE_8,3.838776432096341,52.606585209281015,2631382,Charenton,8
LIEGE_13,3.802159991307313,52.63879286172064,1795368,Paris,13
LOUISBLANC_7,3.818570140976536,52.641018115772695,2439575,Paris,7
LOUISBLANC_7bis,3.818570140976536,52.641018115772695,2439575,Paris,7bis
LOUISEMICHEL_3,3.785086429296727,52.64349521238326,3807962,Levallois-Perret,3
