station1,station2,distance
ALMAMARCEAU,LATOURMAUBOURG,0.6822035035056726
ALMAMARCEAU,MIROMESNIL,0.913421828713094
ALMAMARCEAU,MIROMESNIL,0.913421828713094
ALMAMARCEAU,PASSY,0.8948955840616873
ALMAMARCEAU,STPHILIPPEDUROULE,0.6990102895842746
ALMAMARCEAU,TERNES,0.9576446880791761
ALMAMARCEAU,TROCADERO,0.7143343061878624
ALMAMARCEAU,TROCADERO,0.7143343061878624
ALMAMARCEAU,VARENNE,0.8794708944588165
ALMAMARCEAU,VICTORHUGO,0.8303562753358248
ANATOLEFRANCE,LOUISEMICHEL,0.2835601086377256
ANATOLEFRANCE,PEREIRE,0.7967687050410585
ANATOLEFRANCE,PONTDELEVALLOISBECON,0.4812324058441602
ANATOLEFRANCE,PORTEDECHAMPERRET,0.5787140256593429
ANVERS,BARBESROCHECHOUART,0.2722384289805775
ANVERS,BARBESROCHECHOUART,0.2722384289805775
ANVERS,BLANCHE,0.587434971160456
ANVERS,BONNENOUVELLE,0.9623514769672692
ANVERS,BONNENOUVELLE,0.9623514769672692
ANVERS,CADET,0.5013740137427949
ANVERS,CHATEAUDEAU,0.9418073207536525
ANVERS,CHATEAULANDON,0.9142158591991612
ANVERS,CHATEAUROUGE,0.4184140780813735
ANVERS,CHAUSSEEDANTINLAFAYETTE,0.8756238266876294
ANVERS,CHAUSSEEDANTINLAFAYETTE,0.8756238266876294
ANVERS,GAREDELEST,0.8164695542649464
ANVERS,GAREDELEST,0.8164695542649464
ANVERS,GAREDELEST,0.8164695542649464
ANVERS,GAREDUNORD,0.6719718822749593
ANVERS,GAREDUNORD,0.6719718822749593
ANVERS,GRANDSBOULEVARDS,0.8183158631741042
ANVERS,GRANDSBOULEVARDS,0.8183158631741042
ANVERS,JULESJOFFRIN,0.6880457507229285
ANVERS,LACHAPELLE,0.7879839963742006
ANVERS,LAFOURCHE,0.9288348987058205
ANVERS,LAMARCKCAULAINCOURT,0.5521671552769518
ANVERS,LEPELETIER,0.6040695754369598
ANVERS,LIEGE,0.8483323630302221
ANVERS,MARCADETPOISSONNIERS,0.669616132920551
ANVERS,MARCADETPOISSONNIERS,0.669616132920551
ANVERS,MARXDORMOY,0.9333938830370865
ANVERS,NOTREDAMEDELORETTE,0.5745968838401848
ANVERS,PIGALLE,0.3278454898213185
ANVERS,PIGALLE,0.3278454898213185
ANVERS,PLACEDECLICHY,0.7789678832559322
ANVERS,PLACEDECLICHY,0.7789678832559322
ANVERS,POISSONNIERE,0.47394703255556825
ANVERS,RICHELIEUDROUOT,0.8324038677725869
ANVERS,RICHELIEUDROUOT,0.8324038677725869
ANVERS,SIMPLON,0.8140080864299273
ANVERS,STGEORGES,0.4460231212146643
ANVERS,TRINITEDESTIENNEDORVES,0.725682385475928
ARGENTINE,BOISSIERE,0.6197928974478579
ARGENTINE,CHARLESDEGAULLEETOILE,0.30622221163423824
ARGENTINE,CHARLESDEGAULLEETOILE,0.30622221163423824
ARGENTINE,CHARLESDEGAULLEETOILE,0.30622221163423824
ARGENTINE,COURCELLES,0.7257226193178724
ARGENTINE,GEORGEV,0.5946243570028302
ARGENTINE,IENA,0.8099098308922335
ARGENTINE,KLEBER,0.34730922903818
ARGENTINE,LESSABLONS,0.9328658810460718
ARGENTINE,LOUISEMICHEL,0.943976866593511
ARGENTINE,PEREIRE,0.7790051072379331
ARGENTINE,PORTEDAUPHINE,0.6547501109378971
ARGENTINE,PORTEDECHAMPERRET,0.7489726408663958
ARGENTINE,PORTEMAILLOT,0.3259357472830063
ARGENTINE,RUEDELAPOMPE,0.9912228948106901
ARGENTINE,TERNES,0.4614584920484002
ARGENTINE,TROCADERO,0.9121115450566226
ARGENTINE,TROCADERO,0.9121115450566226
ARGENTINE,VICTORHUGO,0.45769037460590645
ARGENTINE,WAGRAM,0.9401854703976377
ARTSETMETIERS,ARTSETMETIERS,0.0
ARTSETMETIERS,BONNENOUVELLE,0.45792110656045665
ARTSETMETIERS,BONNENOUVELLE,0.45792110656045665
ARTSETMETIERS,BOURSE,0.8017779668904155
ARTSETMETIERS,BREGUETSABIN,0.9220972191901571
ARTSETMETIERS,CADET,0.9691662401304382
ARTSETMETIERS,CHATEAUDEAU,0.5114448554403214
ARTSETMETIERS,CHATEAULANDON,0.9860172985337791
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHEMINVERT,0.7862135798969909
ARTSETMETIERS,CITE,0.8707829668842568
ARTSETMETIERS,ETIENNEMARCEL,0.3900360154603144
ARTSETMETIERS,FILLESDUCALVAIRE,0.49682032494129963
ARTSETMETIERS,GAREDELEST,0.7893422037303434
ARTSETMETIERS,GAREDELEST,0.7893422037303434
ARTSETMETIERS,GAREDELEST,0.7893422037303434
ARTSETMETIERS,GONCOURT,0.7618886218374413
ARTSETMETIERS,GRANDSBOULEVARDS,0.785580923850155
ARTSETMETIERS,GRANDSBOULEVARDS,0.785580923850155
ARTSETMETIERS,HOTELDEVILLE,0.614874316473016
ARTSETMETIERS,HOTELDEVILLE,0.614874316473016
ARTSETMETIERS,JACQUESBONSERGENT,0.44429817812731337
ARTSETMETIERS,LESHALLES,0.5700274729367639
ARTSETMETIERS,LOUVRERIVOLI,0.8129154874497904
ARTSETMETIERS,OBERKAMPF,0.5595541146495652
ARTSETMETIERS,OBERKAMPF,0.5595541146495652
ARTSETMETIERS,PALAISROYALMUSEEDULOUVRE,0.9889087350863967
ARTSETMETIERS,PALAISROYALMUSEEDULOUVRE,0.9889087350863967
ARTSETMETIERS,PARMENTIER,0.8520484140303738
ARTSETMETIERS,POISSONNIERE,0.9270217670482841
ARTSETMETIERS,PONTMARIE,0.844535076015417
ARTSETMETIERS,PONTNEUF,0.8454849612868801
ARTSETMETIERS,RAMBUTEAU,0.3336358801146578
ARTSETMETIERS,REAUMURSEBASTOPOL,0.23425378101126954
ARTSETMETIERS,REAUMURSEBASTOPOL,0.23425378101126954
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,RICHARDLENOIR,0.824114290243167
ARTSETMETIERS,RICHELIEUDROUOT,0.9643269111825441
ARTSETMETIERS,RICHELIEUDROUOT,0.9643269111825441
ARTSETMETIERS,SENTIER,0.4624519676791502
ARTSETMETIERS,STAMBROISE,0.9135519925999492
ARTSETMETIERS,STPAUL,0.7526335683015573
ARTSETMETIERS,STRASBOURGSTDENIS,0.31973255480799606
ARTSETMETIERS,STRASBOURGSTDENIS,0.31973255480799606
ARTSETMETIERS,STRASBOURGSTDENIS,0.31973255480799606
ARTSETMETIERS,STSEBASTIENFROISSART,0.5828006224549077
ARTSETMETIERS,TEMPLE,0.24948809134279779
ARTSETMETIERS,BONNENOUVELLE,0.45792110656045665
ARTSETMETIERS,BONNENOUVELLE,0.45792110656045665
ARTSETMETIERS,BOURSE,0.8017779668904155
ARTSETMETIERS,BREGUETSABIN,0.9220972191901571
ARTSETMETIERS,CADET,0.9691662401304382
ARTSETMETIERS,CHATEAUDEAU,0.5114448554403214
ARTSETMETIERS,CHATEAULANDON,0.9860172985337791
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHATELET,0.7331027652558315
ARTSETMETIERS,CHEMINVERT,0.7862135798969909
ARTSETMETIERS,CITE,0.8707829668842568
ARTSETMETIERS,ETIENNEMARCEL,0.3900360154603144
ARTSETMETIERS,FILLESDUCALVAIRE,0.49682032494129963
ARTSETMETIERS,GAREDELEST,0.7893422037303434
ARTSETMETIERS,GAREDELEST,0.7893422037303434
ARTSETMETIERS,GAREDELEST,0.7893422037303434
ARTSETMETIERS,GONCOURT,0.7618886218374413
ARTSETMETIERS,GRANDSBOULEVARDS,0.785580923850155
ARTSETMETIERS,GRANDSBOULEVARDS,0.785580923850155
ARTSETMETIERS,HOTELDEVILLE,0.614874316473016
ARTSETMETIERS,HOTELDEVILLE,0.614874316473016
ARTSETMETIERS,JACQUESBONSERGENT,0.44429817812731337
ARTSETMETIERS,LESHALLES,0.5700274729367639
ARTSETMETIERS,LOUVRERIVOLI,0.8129154874497904
ARTSETMETIERS,OBERKAMPF,0.5595541146495652
ARTSETMETIERS,OBERKAMPF,0.5595541146495652
ARTSETMETIERS,PALAISROYALMUSEEDULOUVRE,0.9889087350863967
ARTSETMETIERS,PALAISROYALMUSEEDULOUVRE,0.9889087350863967
ARTSETMETIERS,PARMENTIER,0.8520484140303738
ARTSETMETIERS,POISSONNIERE,0.9270217670482841
ARTSETMETIERS,PONTMARIE,0.844535076015417
ARTSETMETIERS,PONTNEUF,0.8454849612868801
ARTSETMETIERS,RAMBUTEAU,0.3336358801146578
ARTSETMETIERS,REAUMURSEBASTOPOL,0.23425378101126954
ARTSETMETIERS,REAUMURSEBASTOPOL,0.23425378101126954
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,REPUBLIQUE,0.37303810405971966
ARTSETMETIERS,RICHARDLENOIR,0.824114290243167
ARTSETMETIERS,RICHELIEUDROUOT,0.9643269111825441
ARTSETMETIERS,RICHELIEUDROUOT,0.9643269111825441
ARTSETMETIERS,SENTIER,0.4624519676791502
ARTSETMETIERS,STAMBROISE,0.9135519925999492
ARTSETMETIERS,STPAUL,0.7526335683015573
ARTSETMETIERS,STRASBOURGSTDENIS,0.31973255480799606
ARTSETMETIERS,STRASBOURGSTDENIS,0.31973255480799606
ARTSETMETIERS,STRASBOURGSTDENIS,0.31973255480799606
ARTSETMETIERS,STSEBASTIENFROISSART,0.5828006224549077
ARTSETMETIERS,TEMPLE,0.24948809134279779
ASNIERESGENNEVILLIERSLESCOURTILLES,LESAGNETTES,0.5587253527976933
ASSEMBLEENATIONALE,CHAMPSELYSEESCLEMENCEAU,0.6233417552188576
ASSEMBLEENATIONALE,CHAMPSELYSEESCLEMENCEAU,0.6233417552188576
ASSEMBLEENATIONALE,CONCORDE,0.43647893835286006
ASSEMBLEENATIONALE,CONCORDE,0.43647893835286006
ASSEMBLEENATIONALE,CONCORDE,0.43647893835286006
ASSEMBLEENATIONALE,ECOLEMILITAIRE,0.8354254936888877
ASSEMBLEENATIONALE,FRANKLINDROOSEVELT,0.7904671117649414
ASSEMBLEENATIONALE,FRANKLINDROOSEVELT,0.7904671117649414
ASSEMBLEENATIONALE,HAVRECAUMARTIN,0.966137257212988
ASSEMBLEENATIONALE,HAVRECAUMARTIN,0.966137257212988
ASSEMBLEENATIONALE,INVALIDES,0.35695237924411805
ASSEMBLEENATIONALE,INVALIDES,0.35695237924411805
ASSEMBLEENATIONALE,LATOURMAUBOURG,0.5442519300349322
ASSEMBLEENATIONALE,LOUVRERIVOLI,0.9599497422427222
ASSEMBLEENATIONALE,MABILLON,0.8899611023410717
ASSEMBLEENATIONALE,MADELEINE,0.6979795379512297
ASSEMBLEENATIONALE,MADELEINE,0.6979795379512297
ASSEMBLEENATIONALE,MADELEINE,0.6979795379512297
ASSEMBLEENATIONALE,MIROMESNIL,0.9777263429391327
ASSEMBLEENATIONALE,MIROMESNIL,0.9777263429391327
ASSEMBLEENATIONALE,OPERA,0.8841268816847315
ASSEMBLEENATIONALE,OPERA,0.8841268816847315
ASSEMBLEENATIONALE,OPERA,0.8841268816847315
ASSEMBLEENATIONALE,PALAISROYALMUSEEDULOUVRE,0.7481308045667319
ASSEMBLEENATIONALE,PALAISROYALMUSEEDULOUVRE,0.7481308045667319
ASSEMBLEENATIONALE,PYRAMIDES,0.7374544512864544
ASSEMBLEENATIONALE,PYRAMIDES,0.7374544512864544
ASSEMBLEENATIONALE,QUATRESEPTEMBRE,0.9626157190099792
ASSEMBLEENATIONALE,RENNES,0.9437533307799169
ASSEMBLEENATIONALE,RUEDUBAC,0.4386524770512651
ASSEMBLEENATIONALE,SEVRESBABYLONE,0.7379472243262407
ASSEMBLEENATIONALE,SEVRESBABYLONE,0.7379472243262407
ASSEMBLEENATIONALE,SOLFERINO,0.1933450470824665
ASSEMBLEENATIONALE,STAUGUSTIN,0.989769528102489
ASSEMBLEENATIONALE,STFRANCOISXAVIER,0.7414299033776225
ASSEMBLEENATIONALE,STGERMAINDESPRES,0.7941934636459244
ASSEMBLEENATIONALE,STPHILIPPEDUROULE,0.9866850266050737
ASSEMBLEENATIONALE,STSULPICE,0.8182791860653972
ASSEMBLEENATIONALE,TUILERIES,0.5050844870976399
ASSEMBLEENATIONALE,VANEAU,0.8604626413115307
ASSEMBLEENATIONALE,VARENNE,0.39936241789686433
AUBERVILLIERSPANTINQUATRECHEMINS,CORENTINCARIOU,0.7918533229310107
AUBERVILLIERSPANTINQUATRECHEMINS,FORTDAUBERVILLIERS,0.989350133558994
AUBERVILLIERSPANTINQUATRECHEMINS,PORTEDELAVILLETTE,0.5599306432669703
AVENUEEMILEZOLA,BIRHAKEIM,0.576478083074168
AVENUEEMILEZOLA,BOUCICAUT,0.5555068862884741
AVENUEEMILEZOLA,CAMBRONNE,0.36211302555605795
AVENUEEMILEZOLA,CHARLESMICHELS,0.45123489280509155
AVENUEEMILEZOLA,COMMERCE,0.17456415386096696
AVENUEEMILEZOLA,CONVENTION,0.700585560775241
AVENUEEMILEZOLA,DUPLEIX,0.2602787037676467
AVENUEEMILEZOLA,ECOLEMILITAIRE,0.7501514680214079
AVENUEEMILEZOLA,FELIXFAURE,0.34972456655094436
AVENUEEMILEZOLA,JAVELANDRECITROEN,0.8480879124153062
AVENUEEMILEZOLA,LAMOTTEPICQUETGRENELLE,0.20829248097995243
AVENUEEMILEZOLA,LAMOTTEPICQUETGRENELLE,0.20829248097995243
AVENUEEMILEZOLA,LAMOTTEPICQUETGRENELLE,0.20829248097995243
AVENUEEMILEZOLA,LOURMEL,0.8390672456042576
AVENUEEMILEZOLA,PASSY,0.8791938252026468
